id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
223519,Male,52,1,7.0,1,1-2 Year,No,22737.0,124.0,195,0
348409,Female,38,1,28.0,0,1-2 Year,Yes,52906.0,124.0,83,1
58080,Female,34,1,15.0,0,> 2 Years,Yes,2630.0,157.0,276,0
262722,Male,50,1,21.0,0,1-2 Year,No,27949.0,124.0,221,0
138070,Male,21,1,8.0,1,< 1 Year,No,31889.0,160.0,290,0
204182,Male,38,1,28.0,0,1-2 Year,Yes,60446.0,26.0,217,1
194197,Male,55,1,29.0,0,1-2 Year,Yes,2630.0,124.0,218,1
143652,Male,61,1,39.0,0,1-2 Year,Yes,2630.0,26.0,112,1
204505,Male,54,1,37.0,1,1-2 Year,No,30368.0,124.0,216,0
206712,Male,24,1,8.0,1,< 1 Year,No,52484.0,152.0,227,0
229510,Male,41,1,23.0,0,1-2 Year,Yes,22654.0,26.0,174,1
142185,Male,24,1,11.0,1,< 1 Year,No,33115.0,152.0,131,0
270284,Male,48,1,28.0,0,1-2 Year,Yes,44265.0,26.0,61,1
145143,Male,61,1,28.0,0,1-2 Year,Yes,41417.0,122.0,218,1
169213,Female,52,1,28.0,0,1-2 Year,Yes,38805.0,26.0,52,1
233109,Female,23,1,10.0,1,< 1 Year,No,30709.0,152.0,47,0
7920,Male,40,1,35.0,0,1-2 Year,Yes,2630.0,156.0,203,1
352171,Male,54,1,39.0,1,1-2 Year,No,2630.0,26.0,192,0
1760,Female,50,1,50.0,1,1-2 Year,No,28606.0,122.0,77,0
144784,Female,56,1,28.0,0,> 2 Years,Yes,88072.0,155.0,53,0
277689,Male,66,1,41.0,0,> 2 Years,Yes,47080.0,124.0,73,1
110252,Male,50,1,41.0,0,> 2 Years,Yes,36847.0,26.0,208,1
10170,Male,59,1,8.0,0,1-2 Year,Yes,41634.0,122.0,133,1
50191,Male,80,1,8.0,0,> 2 Years,Yes,62755.0,7.0,143,0
58044,Female,33,1,28.0,0,< 1 Year,Yes,36793.0,124.0,50,1
300849,Male,27,1,33.0,0,< 1 Year,Yes,34026.0,156.0,102,1
199511,Female,41,1,28.0,1,1-2 Year,No,41252.0,30.0,73,0
220283,Male,23,1,16.0,1,< 1 Year,No,34429.0,152.0,35,0
84025,Male,30,1,35.0,1,< 1 Year,No,2630.0,152.0,166,0
93809,Female,41,1,12.0,0,1-2 Year,Yes,45809.0,154.0,297,1
272979,Female,67,1,28.0,0,> 2 Years,Yes,45639.0,122.0,181,0
161981,Male,24,1,30.0,1,< 1 Year,No,27823.0,152.0,149,0
189028,Female,28,1,35.0,0,< 1 Year,Yes,27336.0,124.0,74,1
262841,Female,47,1,28.0,0,1-2 Year,Yes,2630.0,124.0,246,0
363817,Male,22,1,34.0,0,< 1 Year,Yes,2630.0,160.0,273,0
92872,Female,44,1,46.0,0,1-2 Year,Yes,33735.0,124.0,280,1
373340,Male,28,1,46.0,1,< 1 Year,Yes,24787.0,160.0,133,0
153650,Female,23,1,41.0,0,< 1 Year,Yes,29962.0,152.0,196,1
259324,Female,42,1,28.0,0,1-2 Year,Yes,37899.0,26.0,211,1
376605,Male,80,1,28.0,0,> 2 Years,Yes,53875.0,26.0,181,1
94758,Male,20,1,46.0,0,< 1 Year,No,38494.0,160.0,140,0
352971,Female,65,1,28.0,1,1-2 Year,No,34963.0,111.0,251,0
184040,Male,43,1,28.0,0,1-2 Year,Yes,48177.0,124.0,250,1
332055,Male,23,1,46.0,0,< 1 Year,Yes,22298.0,160.0,280,1
192884,Male,71,1,28.0,1,1-2 Year,No,45928.0,26.0,123,0
261698,Female,22,1,8.0,1,< 1 Year,No,40830.0,152.0,13,0
49942,Male,46,1,11.0,0,1-2 Year,Yes,19068.0,26.0,264,1
372978,Male,22,1,15.0,1,< 1 Year,No,35222.0,152.0,160,0
316051,Female,28,1,45.0,1,< 1 Year,No,33027.0,152.0,35,0
